bootstrap;pseudo_F;p_value;permutations;ss_among;ss_within;df_among;df_within;n;k;stratified
36;25,733369680112073;0,005;199;14,52427936840948;170,45308965695313;6;1812;1819;7;True
37;32,74807938778232;0,005;199;17,88631260952772;198,44502953923694;6;2180;2187;7;True
38;34,591564328660226;0,005;199;18,700291285939926;229,75612554011053;6;2550;2557;7;True
39;32,785960515493095;0,005;199;18,036375799365942;216,74924123671974;6;2364;2371;7;True
40;34,040873487313284;0,005;199;18,407748196656343;213,14731392599293;6;2365;2372;7;True
41;34,70081475812793;0,005;199;19,36502835663805;219,874410030337;6;2364;2371;7;True
42;30,032242296042526;0,005;199;16,511292057231486;199,7554069275951;6;2180;2187;7;True
43;36,824282080796586;0,005;199;19,913902038392735;229,74214036492185;6;2549;2556;7;True
44;33,93544372198334;0,005;199;18,852613183067177;218,88411582243918;6;2364;2371;7;True
45;30,67530433463832;0,005;199;17,363497175039754;205,66176746312937;6;2180;2187;7;True
46;33,842681449076125;0,005;199;18,597305395237044;216,6033411877508;6;2365;2372;7;True
47;28,967902936804794;0,005;199;16,047727807665495;201,37284603625628;6;2181;2188;7;True
48;26,480228601680537;0,005;199;14,893777854565343;187,20177245549027;6;1997;2004;7;True
49;34,980564458118764;0,005;199;18,76961611693895;211,49907481580556;6;2365;2372;7;True
50;37,76811089762965;0,005;199;20,405933135495246;229,44540775052414;6;2548;2555;7;True
51;34,92427600908404;0,005;199;19,078083905092342;215,32142104538525;6;2365;2372;7;True
52;35,221262178864215;0,005;199;19,244610462513037;215,27838734808927;6;2364;2371;7;True
53;37,29982489523604;0,005;199;20,24667348982004;230,5128071287111;6;2548;2555;7;True
54;28,029118297598433;0,005;199;15,834287405352143;188,02513165506622;6;1997;2004;7;True
55;31,62565107894496;0,005;199;17,790253987551523;204,384481002734;6;2180;2187;7;True
56;27,86705086513733;0,005;199;15,557763327789445;185,72289160025247;6;1996;2003;7;True
57;35,96354398548576;0,005;199;19,59840131887418;231,5137285597315;6;2549;2556;7;True
58;35,23266588771898;0,005;199;19,595733467067703;219,13524825596235;6;2364;2371;7;True
59;33,87165333526311;0,005;199;18,350799444998756;213,63976074188975;6;2366;2373;7;True
60;31,509036066754536;0,005;199;17,381680656207436;200,42961512296924;6;2180;2187;7;True
61;37,17838745809356;0,005;199;20,382725095408006;232,8197782544114;6;2548;2555;7;True
62;36,81086123163561;0,005;199;20,0958199006252;231,92541192466962;6;2549;2556;7;True
63;35,63545198424995;0,005;199;19,43206175857958;214,848750515757;6;2364;2371;7;True
64;33,57563874162944;0,005;199;18,134666461356744;212,8948636000806;6;2365;2372;7;True
65;38,073992623984246;0,005;199;20,166601273059626;225,0209092975767;6;2549;2556;7;True
66;37,51440898998215;0,005;199;20,284054329675854;229,7075349552168;6;2549;2556;7;True
67;32,97976063857189;0,005;199;17,84727516558297;213,3968036969448;6;2366;2373;7;True
68;34,40032321605535;0,005;199;19,00498216473116;217,7633745730408;6;2365;2372;7;True
69;39,75918604348653;0,005;199;21,298782703443777;227,7595028272555;6;2551;2558;7;True
70;38,01845753653844;0,005;199;20,130229098226494;225,0314168722906;6;2550;2557;7;True
71;37,79970693005869;0,005;199;20,484063309186524;230,40233970783015;6;2551;2558;7;True
72;37,80369318261702;0,005;199;19,992662887360524;224,85141323488568;6;2551;2558;7;True
73;34,40065997374438;0,005;199;19,01755189160059;217,81313064951223;6;2364;2371;7;True
74;38,93767157804403;0,005;199;20,88948663929449;227,82740466919006;6;2548;2555;7;True
75;31,44026515549013;0,005;199;17,497869094789024;202,21073432422529;6;2180;2187;7;True
76;38,19083443488751;0,005;199;20,47238698675517;227,64468147973759;6;2548;2555;7;True
77;34,78639003424082;0,005;199;18,728290263622995;212,21137744709276;6;2365;2372;7;True
78;32,203373013000444;0,005;199;17,428036896955973;196,72136237052035;6;2181;2188;7;True
79;38,33127530428562;0,005;199;20,818602783269654;230,73681596944434;6;2549;2556;7;True
